gene_id,cluster,species,resistant_phenotype,product
fig|1351.1163.peg.2820,2,Enterococcus faecalis,Susceptible,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II / Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
fig|1351.1163.peg.33,1,Enterococcus faecalis,Susceptible,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
fig|1351.1163.peg.345,0,Enterococcus faecalis,Susceptible,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1163.peg.346,3,Enterococcus faecalis,Susceptible,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1163.peg.470,2,Enterococcus faecalis,Susceptible,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1163.peg.578,1,Enterococcus faecalis,Susceptible,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1163.peg.725,0,Enterococcus faecalis,Susceptible,Response regulator
fig|1351.1163.peg.726,2,Enterococcus faecalis,Susceptible,agrBfs protein
fig|1351.1163.peg.727,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1163.peg.728,2,Enterococcus faecalis,Susceptible,Coccolysin (EC 3.4.24.30)
fig|1351.1163.peg.729,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1163.peg.955,0,Enterococcus faecalis,Susceptible,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1163.peg.956,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1164.peg.1000,2,Enterococcus faecalis,Susceptible,"Glycosyl transferase, group 2 family"
fig|1351.1164.peg.1001,0,Enterococcus faecalis,Susceptible,CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)
fig|1351.1164.peg.1002,3,Enterococcus faecalis,Susceptible,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1164.peg.1003,0,Enterococcus faecalis,Susceptible,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1164.peg.1170,0,Enterococcus faecalis,Susceptible,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1164.peg.1296,0,Enterococcus faecalis,Susceptible,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1164.peg.1304,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1164.peg.1305,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1164.peg.1443,1,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1164.peg.1444,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1164.peg.1522,1,Enterococcus faecalis,Susceptible,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1164.peg.2006,0,Enterococcus faecalis,Susceptible,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1164.peg.2073,0,Enterococcus faecalis,Susceptible,Alanine racemase (EC 5.1.1.1)
fig|1351.1164.peg.2173,0,Enterococcus faecalis,Susceptible,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1164.peg.2397,0,Enterococcus faecalis,Susceptible,Translation elongation factor Tu
fig|1351.1164.peg.25,3,Enterococcus faecalis,Susceptible,Uncharacterized MFS-type transporter
fig|1351.1164.peg.2666,3,Enterococcus faecalis,Susceptible,Ethidium bromide-methyl viologen resistance protein EmrE
fig|1351.1164.peg.37,2,Enterococcus faecalis,Susceptible,von Willebrand factor type A domain protein
fig|1351.1164.peg.38,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1164.peg.39,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1164.peg.40,1,Enterococcus faecalis,Susceptible,"Sortase A, LPXTG specific"
fig|1351.1164.peg.442,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1164.peg.443,0,Enterococcus faecalis,Susceptible,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1164.peg.49,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1164.peg.50,1,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1164.peg.768,1,Enterococcus faecalis,Susceptible,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1164.peg.883,2,Enterococcus faecalis,Susceptible,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1164.peg.993,3,Enterococcus faecalis,Susceptible,Teichoic acid translocation permease protein TagG
fig|1351.1164.peg.994,2,Enterococcus faecalis,Susceptible,Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)
fig|1351.1164.peg.995,2,Enterococcus faecalis,Susceptible,UDP-galactopyranose mutase (EC 5.4.99.9)
fig|1351.1164.peg.996,2,Enterococcus faecalis,Susceptible,putative lipoprotein
fig|1351.1164.peg.997,2,Enterococcus faecalis,Susceptible,Polysaccharide pyruvyl transferase / Domain of unknown function / UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
fig|1351.1164.peg.998,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1164.peg.999,2,Enterococcus faecalis,Susceptible,"Glycosyl transferase, group 2 family"
fig|1351.1165.peg.109,0,Enterococcus faecalis,Resistant,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1165.peg.1177,0,Enterococcus faecalis,Resistant,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1165.peg.1244,0,Enterococcus faecalis,Resistant,Alanine racemase (EC 5.1.1.1)
fig|1351.1165.peg.1347,0,Enterococcus faecalis,Resistant,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1165.peg.1374,2,Enterococcus faecalis,Resistant,"Tetracycline resistance, ribosomal protection type => Tet(M)"
fig|1351.1165.peg.1535,0,Enterococcus faecalis,Resistant,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1165.peg.1536,2,Enterococcus faecalis,Resistant,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1165.peg.1935,2,Enterococcus faecalis,Resistant,Collagen adhesin
fig|1351.1165.peg.1944,1,Enterococcus faecalis,Resistant,"Sortase A, LPXTG specific"
fig|1351.1165.peg.1945,1,Enterococcus faecalis,Resistant,Cell wall surface anchor family protein
fig|1351.1165.peg.1946,1,Enterococcus faecalis,Resistant,Cell wall surface anchor family protein
fig|1351.1165.peg.1947,2,Enterococcus faecalis,Resistant,von Willebrand factor type A domain protein
fig|1351.1165.peg.1958,3,Enterococcus faecalis,Resistant,Uncharacterized MFS-type transporter
fig|1351.1165.peg.1999,0,Enterococcus faecalis,Resistant,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1165.peg.2007,0,Enterococcus faecalis,Resistant,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1165.peg.2008,0,Enterococcus faecalis,Resistant,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1165.peg.2095,1,Enterococcus faecalis,Resistant,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1165.peg.2175,1,Enterococcus faecalis,Resistant,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1165.peg.2512,0,Enterococcus faecalis,Resistant,Translation elongation factor Tu
fig|1351.1165.peg.278,0,Enterococcus faecalis,Resistant,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1165.peg.279,3,Enterococcus faecalis,Resistant,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1165.peg.280,0,Enterococcus faecalis,Resistant,CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)
fig|1351.1165.peg.281,2,Enterococcus faecalis,Resistant,"Glycosyl transferase, group 2 family"
fig|1351.1165.peg.282,2,Enterococcus faecalis,Resistant,"Glycosyl transferase, group 2 family"
fig|1351.1165.peg.283,2,Enterococcus faecalis,Resistant,hypothetical protein
fig|1351.1165.peg.284,2,Enterococcus faecalis,Resistant,Polysaccharide pyruvyl transferase / Domain of unknown function / UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
fig|1351.1165.peg.285,2,Enterococcus faecalis,Resistant,putative lipoprotein
fig|1351.1165.peg.286,2,Enterococcus faecalis,Resistant,UDP-galactopyranose mutase (EC 5.4.99.9)
fig|1351.1165.peg.287,2,Enterococcus faecalis,Resistant,Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)
fig|1351.1165.peg.288,3,Enterococcus faecalis,Resistant,Teichoic acid translocation permease protein TagG
fig|1351.1165.peg.405,2,Enterococcus faecalis,Resistant,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1165.peg.525,1,Enterococcus faecalis,Resistant,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1165.peg.734,0,Enterococcus faecalis,Resistant,Response regulator
fig|1351.1165.peg.735,2,Enterococcus faecalis,Resistant,agrBfs protein
fig|1351.1165.peg.736,2,Enterococcus faecalis,Resistant,hypothetical protein
fig|1351.1165.peg.737,2,Enterococcus faecalis,Resistant,Coccolysin (EC 3.4.24.30)
fig|1351.1165.peg.738,2,Enterococcus faecalis,Resistant,hypothetical protein
fig|1351.1165.peg.880,2,Enterococcus faecalis,Resistant,23S rRNA (adenine(2058)-N(6))-dimethyltransferase (EC 2.1.1.184) => Erm(B)
fig|1351.1165.peg.882,2,Enterococcus faecalis,Resistant,"Acetyltransferase, GNAT family"
fig|1351.1165.peg.883,2,Enterococcus faecalis,Resistant,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II / Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
fig|1351.1165.peg.885,2,Enterococcus faecalis,Resistant,Aminoglycoside 6-nucleotidyltransferase (EC 2.7.7.-) => ANT(6)-I
fig|1351.1165.peg.886,2,Enterococcus faecalis,Resistant,Streptothricin acetyltransferase => sat-4
fig|1351.1165.peg.887,2,Enterococcus faecalis,Resistant,Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII
fig|1351.1165.peg.888,2,Enterococcus faecalis,Resistant,Aminoglycoside 6-nucleotidyltransferase (EC 2.7.7.-) => ANT(6)-I
fig|1351.1166.peg.1093,0,Enterococcus faecalis,Susceptible,"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.135)"
fig|1351.1166.peg.1112,2,Enterococcus faecalis,Susceptible,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1166.peg.1230,3,Enterococcus faecalis,Susceptible,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1166.peg.1231,0,Enterococcus faecalis,Susceptible,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1166.peg.1402,0,Enterococcus faecalis,Susceptible,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1166.peg.1777,0,Enterococcus faecalis,Susceptible,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1166.peg.1835,2,Enterococcus faecalis,Susceptible,Aminoglycoside 6-nucleotidyltransferase (EC 2.7.7.-) => ANT(6)-I
fig|1351.1166.peg.1906,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1166.peg.1935,0,Enterococcus faecalis,Susceptible,Alanine racemase (EC 5.1.1.1)
fig|1351.1166.peg.2037,0,Enterococcus faecalis,Susceptible,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1166.peg.2151,0,Enterococcus faecalis,Susceptible,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1166.peg.2159,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1166.peg.2160,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1166.peg.2323,1,Enterococcus faecalis,Susceptible,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1166.peg.24,3,Enterococcus faecalis,Susceptible,Uncharacterized MFS-type transporter
fig|1351.1166.peg.2533,0,Enterococcus faecalis,Susceptible,Translation elongation factor Tu
fig|1351.1166.peg.2794,1,Enterococcus faecalis,Susceptible,Aggregation substance Asa1/PrgB
fig|1351.1166.peg.2816,2,Enterococcus faecalis,Susceptible,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II / Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
fig|1351.1166.peg.2850,3,Enterococcus faecalis,Susceptible,"Tetracycline resistance, MFS efflux pump => Tet(L)"
fig|1351.1166.peg.2851,2,Enterococcus faecalis,Susceptible,"Tetracycline resistance, ribosomal protection type => Tet(M)"
fig|1351.1166.peg.295,2,Enterococcus faecalis,Susceptible,"FtsK/SpoIIIE family protein, putative EssC/YukB component of Type VII secretion system"
fig|1351.1166.peg.35,2,Enterococcus faecalis,Susceptible,von Willebrand factor type A domain protein
fig|1351.1166.peg.36,2,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1166.peg.37,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1166.peg.38,1,Enterococcus faecalis,Susceptible,"Sortase A, LPXTG specific"
fig|1351.1166.peg.47,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1166.peg.48,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1166.peg.548,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1166.peg.549,0,Enterococcus faecalis,Susceptible,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1166.peg.775,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1166.peg.776,2,Enterococcus faecalis,Susceptible,Coccolysin (EC 3.4.24.30)
fig|1351.1166.peg.777,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1166.peg.778,2,Enterococcus faecalis,Susceptible,agrBfs protein
fig|1351.1166.peg.779,0,Enterococcus faecalis,Susceptible,Response regulator
fig|1351.1166.peg.986,1,Enterococcus faecalis,Susceptible,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1167.peg.1017,3,Enterococcus faecalis,Susceptible,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1167.peg.1018,0,Enterococcus faecalis,Susceptible,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1167.peg.1189,0,Enterococcus faecalis,Susceptible,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1167.peg.1314,0,Enterococcus faecalis,Susceptible,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1167.peg.1322,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1167.peg.1323,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1167.peg.1489,1,Enterococcus faecalis,Susceptible,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1167.peg.1922,0,Enterococcus faecalis,Susceptible,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1167.peg.1969,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1167.peg.1998,0,Enterococcus faecalis,Susceptible,Alanine racemase (EC 5.1.1.1)
fig|1351.1167.peg.2098,0,Enterococcus faecalis,Susceptible,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1167.peg.2260,0,Enterococcus faecalis,Susceptible,Translation elongation factor Tu
fig|1351.1167.peg.25,3,Enterococcus faecalis,Susceptible,Uncharacterized MFS-type transporter
fig|1351.1167.peg.38,2,Enterococcus faecalis,Susceptible,von Willebrand factor type A domain protein
fig|1351.1167.peg.39,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1167.peg.40,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1167.peg.41,1,Enterococcus faecalis,Susceptible,"Sortase A, LPXTG specific"
fig|1351.1167.peg.447,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1167.peg.448,0,Enterococcus faecalis,Susceptible,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1167.peg.49,2,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1167.peg.686,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1167.peg.687,2,Enterococcus faecalis,Susceptible,Coccolysin (EC 3.4.24.30)
fig|1351.1167.peg.688,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1167.peg.689,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1167.peg.690,0,Enterococcus faecalis,Susceptible,Response regulator
fig|1351.1167.peg.817,1,Enterococcus faecalis,Susceptible,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1167.peg.909,2,Enterococcus faecalis,Susceptible,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1168.peg.1093,2,Enterococcus faecalis,Resistant,"Tetracycline resistance, ribosomal protection type => Tet(M)"
fig|1351.1168.peg.11,2,Enterococcus faecalis,Resistant,23S rRNA (adenine(2058)-N(6))-dimethyltransferase (EC 2.1.1.184) => Erm(B)
fig|1351.1168.peg.1101,2,Enterococcus faecalis,Resistant,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1168.peg.111,3,Enterococcus faecalis,Resistant,Uncharacterized MFS-type transporter
fig|1351.1168.peg.122,2,Enterococcus faecalis,Resistant,von Willebrand factor type A domain protein
fig|1351.1168.peg.123,1,Enterococcus faecalis,Resistant,Cell wall surface anchor family protein
fig|1351.1168.peg.124,1,Enterococcus faecalis,Resistant,Cell wall surface anchor family protein
fig|1351.1168.peg.1245,3,Enterococcus faecalis,Resistant,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1168.peg.1246,0,Enterococcus faecalis,Resistant,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1168.peg.125,1,Enterococcus faecalis,Resistant,"Sortase A, LPXTG specific"
fig|1351.1168.peg.131,2,Enterococcus faecalis,Resistant,Collagen adhesin
fig|1351.1168.peg.132,2,Enterococcus faecalis,Resistant,Collagen adhesin
fig|1351.1168.peg.14,2,Enterococcus faecalis,Resistant,23S rRNA (adenine(2058)-N(6))-dimethyltransferase (EC 2.1.1.184) => Erm(B)
fig|1351.1168.peg.1457,0,Enterococcus faecalis,Resistant,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1168.peg.1595,1,Enterococcus faecalis,Resistant,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
fig|1351.1168.peg.1908,0,Enterococcus faecalis,Resistant,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1168.peg.1959,2,Enterococcus faecalis,Resistant,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1168.peg.1988,0,Enterococcus faecalis,Resistant,Alanine racemase (EC 5.1.1.1)
fig|1351.1168.peg.2100,0,Enterococcus faecalis,Resistant,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1168.peg.2222,0,Enterococcus faecalis,Resistant,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1168.peg.2230,0,Enterococcus faecalis,Resistant,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1168.peg.2231,0,Enterococcus faecalis,Resistant,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1168.peg.2322,1,Enterococcus faecalis,Resistant,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1168.peg.2323,2,Enterococcus faecalis,Resistant,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1168.peg.2403,1,Enterococcus faecalis,Resistant,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1168.peg.2766,0,Enterococcus faecalis,Resistant,Translation elongation factor Tu
fig|1351.1168.peg.2895,2,Enterococcus faecalis,Resistant,Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II / Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')
fig|1351.1168.peg.539,2,Enterococcus faecalis,Resistant,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1168.peg.540,0,Enterococcus faecalis,Resistant,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1168.peg.766,2,Enterococcus faecalis,Resistant,hypothetical protein
fig|1351.1168.peg.767,2,Enterococcus faecalis,Resistant,Coccolysin (EC 3.4.24.30)
fig|1351.1168.peg.768,2,Enterococcus faecalis,Resistant,hypothetical protein
fig|1351.1168.peg.769,2,Enterococcus faecalis,Resistant,agrBfs protein
fig|1351.1168.peg.770,0,Enterococcus faecalis,Resistant,Response regulator
fig|1351.1168.peg.919,1,Enterococcus faecalis,Resistant,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1169.peg.1001,2,Enterococcus faecalis,Susceptible,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
fig|1351.1169.peg.101,1,Enterococcus faecalis,Susceptible,Collagen adhesin
fig|1351.1169.peg.1184,3,Enterococcus faecalis,Susceptible,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|1351.1169.peg.1185,0,Enterococcus faecalis,Susceptible,Undecaprenyl diphosphate synthase (EC 2.5.1.31)
fig|1351.1169.peg.1348,0,Enterococcus faecalis,Susceptible,ABC-F type ribosomal protection protein => Lsa(A)
fig|1351.1169.peg.1733,0,Enterococcus faecalis,Susceptible,ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)
fig|1351.1169.peg.1782,2,Enterococcus faecalis,Susceptible,"Hyaluronate lyase precursor (EC 4.2.2.1) @ polysaccharide lyase, family 8"
fig|1351.1169.peg.1811,0,Enterococcus faecalis,Susceptible,Alanine racemase (EC 5.1.1.1)
fig|1351.1169.peg.1913,0,Enterococcus faecalis,Susceptible,"Maltose operon transcriptional repressor MalR, LacI family"
fig|1351.1169.peg.2088,0,Enterococcus faecalis,Susceptible,"Cell envelope stress response system LiaFSR, response regulator LiaR(VraR)"
fig|1351.1169.peg.2096,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2"
fig|1351.1169.peg.2097,0,Enterococcus faecalis,Susceptible,"Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1"
fig|1351.1169.peg.2245,1,Enterococcus faecalis,Susceptible,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
fig|1351.1169.peg.2427,2,Enterococcus faecalis,Susceptible,"Tetracycline resistance, ribosomal protection type => Tet(M)"
fig|1351.1169.peg.26,3,Enterococcus faecalis,Susceptible,Uncharacterized MFS-type transporter
fig|1351.1169.peg.2600,0,Enterococcus faecalis,Susceptible,Translation elongation factor Tu
fig|1351.1169.peg.39,2,Enterococcus faecalis,Susceptible,von Willebrand factor type A domain protein
fig|1351.1169.peg.40,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1169.peg.41,1,Enterococcus faecalis,Susceptible,Cell wall surface anchor family protein
fig|1351.1169.peg.42,1,Enterococcus faecalis,Susceptible,"Sortase A, LPXTG specific"
fig|1351.1169.peg.507,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
fig|1351.1169.peg.508,0,Enterococcus faecalis,Susceptible,Dihydrofolate reductase (EC 1.5.1.3)
fig|1351.1169.peg.758,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1169.peg.759,2,Enterococcus faecalis,Susceptible,Coccolysin (EC 3.4.24.30)
fig|1351.1169.peg.760,2,Enterococcus faecalis,Susceptible,hypothetical protein
fig|1351.1169.peg.761,2,Enterococcus faecalis,Susceptible,agrBfs protein
fig|1351.1169.peg.762,0,Enterococcus faecalis,Susceptible,Response regulator
fig|1351.1169.peg.907,1,Enterococcus faecalis,Susceptible,"Manganese ABC transporter, periplasmic-binding protein SitA"
fig|1351.1170.peg.1096,2,Enterococcus faecalis,Susceptible,Thymidylate synthase (EC 2.1.1.45)
